"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"12923","2023-11-05 21:20:21 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.15000","1.00","Buy","0.1449","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12924","2023-11-05 21:20:22 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12925","2023-11-05 21:21:17 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12926","2023-11-05 21:21:17 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.75000","1.00","Buy","0.1410","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12927","2023-11-05 21:21:17 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12928","2023-11-05 21:22:17 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12929","2023-11-05 21:22:17 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.61000","1.00","Buy","0.1208","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12930","2023-11-05 21:22:18 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12931","2023-11-05 21:22:18 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2000.15000","","","","","","","","","","","","","","",""
"12932","2023-11-05 21:22:52 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12933","2023-11-05 21:22:52 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1986.13000","1.00","Sell","0.1450","","","","","0.00000","0.0000","0.0000","","0.81","-0.38870","","97955.41"
"12934","2023-11-05 21:22:52 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12935","2023-11-05 21:22:52 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12936","2023-11-05 21:22:59 -12","MARKET_ORDER","POSITION_CLOSEOUT","XAU/USD","","6.00","Sell","","","","","","","","","","","","",""
"12937","2023-11-05 21:22:59 -12","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","XAU/USD","1986.07000","6.00","Sell","0.8460","","","","","0.00000","0.0000","0.0000","","0.81","-4.49400","","97950.92"
"12938","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12939","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12940","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
